Application_ID,Application_Date,Month,Product_Type,Branch_Tier,State,Status,Loan_Amount,Customer_Segment,TAT_Application_Submission_hrs,SLA_Breach_Application_Submission,TAT_Document_Verification_hrs,SLA_Breach_Document_Verification,TAT_Credit_Assessment_hrs,SLA_Breach_Credit_Assessment,TAT_Approval_Rejection_hrs,SLA_Breach_Approval_Rejection,TAT_Loan_Disbursal_hrs,SLA_Breach_Loan_Disbursal,Total_TAT_hrs,Total_TAT_days,SLA_Breached
AU2024000,2024-01-13,2024-01,Business Loan,Rural,Gujarat,Rejected,79000.0,Salaried,8.6,1,55.2,1,82.3,1,24.7,1,0.0,0,170.8,7.1,1
AU2024001,2024-05-05,2024-05,MSME Loan,Rural,Uttar Pradesh,Disbursed,381000.0,Salaried,9.8,1,35.0,1,76.0,1,19.8,1,26.7,1,167.3,7.0,1
AU2024002,2024-03-12,2024-03,Vehicle Finance,Urban,Madhya Pradesh,Disbursed,124000.0,MSME Owner,2.8,0,16.2,0,26.2,0,4.4,0,13.3,0,62.9,2.6,0
AU2024003,2024-12-12,2024-12,Personal Loan,Urban,Gujarat,Pending Documents,50000.0,Farmer,5.2,0,12.9,0,14.3,0,9.5,0,11.3,0,53.2,2.2,0
AU2024004,2024-02-14,2024-02,Personal Loan,Semi-Urban,Karnataka,Disbursed,208000.0,MSME Owner,5.9,0,24.5,1,34.4,0,10.2,0,27.5,1,102.5,4.3,1
AU2024005,2024-08-04,2024-08,Home Loan,Rural,Odisha,Under Review,412000.0,Self-Employed,17.2,1,36.2,1,33.4,0,0.0,0,0.0,0,86.8,3.6,1
AU2024006,2024-01-16,2024-01,Business Loan,Urban,Rajasthan,Under Review,61000.0,Self-Employed,2.6,0,20.8,0,19.1,0,0.0,0,0.0,0,42.5,1.8,0
AU2024007,2024-04-21,2024-04,Personal Loan,Urban,Gujarat,Under Review,102000.0,MSME Owner,4.9,0,20.3,0,13.8,0,0.0,0,0.0,0,39.0,1.6,0
AU2024008,2024-09-15,2024-09,MSME Loan,Semi-Urban,Madhya Pradesh,Disbursed,221000.0,Salaried,8.4,1,27.3,1,70.2,1,13.7,0,12.2,0,131.8,5.5,1
AU2024009,2024-01-14,2024-01,Home Loan,Rural,Odisha,Disbursed,171000.0,MSME Owner,12.9,1,61.8,1,44.5,0,12.5,0,21.2,0,152.9,6.4,1
AU2024010,2024-04-11,2024-04,Personal Loan,Semi-Urban,Karnataka,Disbursed,725000.0,Salaried,6.5,0,30.1,1,24.9,0,8.9,0,15.2,0,85.6,3.6,1
AU2024011,2024-08-02,2024-08,Personal Loan,Rural,Karnataka,Under Review,274000.0,Self-Employed,16.7,1,52.9,1,33.0,0,0.0,0,0.0,0,102.6,4.3,1
AU2024012,2024-08-17,2024-08,MSME Loan,Rural,Madhya Pradesh,Disbursed,202000.0,Self-Employed,16.2,1,55.0,1,33.6,0,21.2,1,30.5,1,156.5,6.5,1
AU2024013,2024-05-22,2024-05,Personal Loan,Urban,Odisha,Disbursed,179000.0,Farmer,3.3,0,16.3,0,28.9,0,6.9,0,17.7,0,73.1,3.0,0
AU2024014,2025-01-23,2025-01,MSME Loan,Urban,Rajasthan,Disbursed,82000.0,Salaried,4.4,0,16.0,0,18.1,0,6.2,0,16.9,0,61.6,2.6,0
AU2024015,2024-12-23,2024-12,Personal Loan,Urban,Maharashtra,Disbursed,90000.0,Farmer,3.0,0,18.8,0,30.3,0,5.9,0,14.7,0,72.7,3.0,0
AU2024016,2024-06-23,2024-06,Business Loan,Semi-Urban,Haryana,Disbursed,102000.0,MSME Owner,5.9,0,16.5,0,27.1,0,15.1,0,22.2,0,86.8,3.6,0
AU2024017,2024-03-20,2024-03,Personal Loan,Semi-Urban,Uttar Pradesh,Disbursed,292000.0,Self-Employed,5.0,0,28.6,1,29.6,0,19.2,1,12.5,0,94.9,4.0,1
AU2024018,2025-05-05,2025-05,Business Loan,Urban,Madhya Pradesh,Pending Documents,181000.0,MSME Owner,5.3,0,16.9,0,37.7,0,5.9,0,7.1,0,72.9,3.0,0
AU2024019,2024-02-22,2024-02,MSME Loan,Rural,Punjab,Disbursed,495000.0,Salaried,11.5,1,50.1,1,106.6,1,28.0,1,41.4,1,237.6,9.9,1
AU2024020,2024-07-13,2024-07,Vehicle Finance,Urban,Gujarat,Disbursed,344000.0,Salaried,2.4,0,18.6,0,12.1,0,5.3,0,12.6,0,51.0,2.1,0
AU2024021,2024-07-02,2024-07,Home Loan,Semi-Urban,Gujarat,Disbursed,682000.0,MSME Owner,5.4,0,27.7,1,40.4,0,15.8,0,25.3,1,114.6,4.8,1
AU2024022,2024-11-05,2024-11,Home Loan,Semi-Urban,Punjab,Disbursed,59000.0,Salaried,9.8,1,30.3,1,44.8,0,15.6,0,24.3,1,124.8,5.2,1
AU2024023,2025-02-17,2025-02,Vehicle Finance,Semi-Urban,Uttar Pradesh,Disbursed,115000.0,Salaried,8.3,1,18.7,0,18.7,0,15.7,0,13.2,0,74.6,3.1,1
AU2024024,2025-01-08,2025-01,MSME Loan,Rural,Rajasthan,Under Review,234000.0,Farmer,17.6,1,54.7,1,57.1,1,0.0,0,0.0,0,129.4,5.4,1
AU2024025,2024-10-01,2024-10,Business Loan,Urban,Tamil Nadu,Disbursed,606000.0,Farmer,4.8,0,17.1,0,20.0,0,8.9,0,17.9,0,68.7,2.9,0
AU2024026,2025-05-13,2025-05,Personal Loan,Semi-Urban,Gujarat,Under Review,701000.0,MSME Owner,6.2,0,19.0,0,42.3,0,0.0,0,0.0,0,67.5,2.8,0
AU2024027,2024-02-10,2024-02,MSME Loan,Semi-Urban,Haryana,Disbursed,867000.0,MSME Owner,7.9,0,28.8,1,65.6,1,18.7,1,16.1,0,137.1,5.7,1
AU2024028,2024-05-30,2024-05,Business Loan,Urban,Karnataka,Disbursed,257000.0,Self-Employed,3.1,0,17.5,0,17.3,0,4.3,0,15.9,0,58.1,2.4,0
AU2024029,2025-03-29,2025-03,Business Loan,Urban,Odisha,Disbursed,149000.0,MSME Owner,2.9,0,18.0,0,19.5,0,4.4,0,12.4,0,57.2,2.4,0
AU2024030,2024-10-22,2024-10,Vehicle Finance,Semi-Urban,Punjab,Rejected,273000.0,Salaried,8.8,1,18.5,0,31.2,0,8.9,0,0.0,0,67.4,2.8,1
AU2024031,2024-12-26,2024-12,MSME Loan,Rural,Madhya Pradesh,Rejected,436000.0,Self-Employed,9.7,1,29.6,1,53.5,1,21.9,1,0.0,0,114.7,4.8,1
AU2024032,2024-01-24,2024-01,Home Loan,Urban,Gujarat,Pending Documents,406000.0,Self-Employed,3.7,0,16.4,0,20.5,0,10.1,0,6.2,0,56.9,2.4,0
AU2024033,2025-01-30,2025-01,Personal Loan,Urban,Madhya Pradesh,Disbursed,1650000.0,Farmer,4.8,0,15.6,0,14.3,0,7.9,0,11.7,0,54.3,2.3,0
AU2024034,2024-02-10,2024-02,Personal Loan,Semi-Urban,Uttar Pradesh,Disbursed,1465000.0,Salaried,6.2,0,27.0,1,33.1,0,18.3,1,21.9,0,106.5,4.4,1
AU2024035,2025-03-19,2025-03,Personal Loan,Urban,Madhya Pradesh,Disbursed,1150000.0,Salaried,4.3,0,23.0,0,25.8,0,7.1,0,13.7,0,73.9,3.1,0
AU2024036,2024-07-13,2024-07,Vehicle Finance,Semi-Urban,Gujarat,Pending Documents,435000.0,Farmer,5.2,0,13.7,0,21.0,0,8.2,0,11.7,0,59.8,2.5,0
AU2024037,2024-08-20,2024-08,Home Loan,Urban,Uttar Pradesh,Disbursed,238000.0,MSME Owner,2.1,0,31.2,1,18.8,0,4.9,0,14.4,0,71.4,3.0,1
AU2024038,2024-03-24,2024-03,Vehicle Finance,Rural,Punjab,Rejected,134000.0,Salaried,15.5,1,53.0,1,71.5,1,19.4,1,0.0,0,159.4,6.6,1
AU2024039,2024-06-30,2024-06,Home Loan,Urban,Punjab,Pending Documents,704000.0,Farmer,3.7,0,29.5,1,30.1,0,4.8,0,16.8,0,84.9,3.5,1
AU2024040,2024-12-09,2024-12,Vehicle Finance,Rural,Madhya Pradesh,Disbursed,206000.0,Salaried,17.1,1,27.3,1,39.3,0,29.1,1,46.5,1,159.3,6.6,1
AU2024041,2024-12-25,2024-12,Vehicle Finance,Semi-Urban,Uttar Pradesh,Disbursed,687000.0,Salaried,6.0,0,28.1,1,40.6,0,17.5,1,24.2,1,116.4,4.9,1
AU2024042,2024-11-07,2024-11,Personal Loan,Semi-Urban,Gujarat,Disbursed,50000.0,Farmer,6.1,0,14.8,0,22.3,0,17.1,1,21.1,0,81.4,3.4,1
AU2024043,2024-09-30,2024-09,Personal Loan,Urban,Maharashtra,Rejected,1881000.0,Salaried,5.3,0,19.3,0,14.0,0,4.7,0,0.0,0,43.3,1.8,0
AU2024044,2024-03-24,2024-03,Business Loan,Urban,Madhya Pradesh,Under Review,129000.0,Salaried,5.1,0,16.9,0,33.4,0,0.0,0,0.0,0,55.4,2.3,0
AU2024045,2024-07-13,2024-07,Vehicle Finance,Urban,Tamil Nadu,Disbursed,1198000.0,Salaried,2.5,0,9.9,0,27.6,0,10.0,0,13.0,0,63.0,2.6,0
AU2024046,2025-04-18,2025-04,MSME Loan,Urban,Uttar Pradesh,Disbursed,184000.0,Farmer,2.0,0,23.5,0,17.8,0,11.1,0,12.3,0,66.7,2.8,0
AU2024047,2024-04-22,2024-04,MSME Loan,Urban,Karnataka,Disbursed,444000.0,Farmer,4.1,0,18.1,0,44.5,0,7.6,0,13.5,0,87.8,3.7,0
AU2024048,2025-03-07,2025-03,Vehicle Finance,Rural,Punjab,Disbursed,238000.0,Self-Employed,10.8,1,30.8,1,46.3,0,18.4,1,35.5,1,141.8,5.9,1
AU2024049,2024-04-27,2024-04,Personal Loan,Rural,Rajasthan,Pending Documents,785000.0,MSME Owner,13.4,1,35.1,1,63.1,1,24.3,1,22.9,0,158.8,6.6,1
AU2024050,2025-02-16,2025-02,MSME Loan,Rural,Rajasthan,Pending Documents,607000.0,Self-Employed,17.3,1,55.2,1,36.7,0,12.5,0,29.3,1,151.0,6.3,1
AU2024051,2024-07-24,2024-07,MSME Loan,Rural,Punjab,Disbursed,1362000.0,Self-Employed,11.8,1,58.9,1,102.1,1,27.1,1,32.1,1,232.0,9.7,1
AU2024052,2024-02-03,2024-02,Business Loan,Urban,Uttar Pradesh,Disbursed,357000.0,Farmer,6.0,0,16.9,0,47.5,0,11.6,0,16.2,0,98.2,4.1,0
AU2024053,2025-04-12,2025-04,Personal Loan,Semi-Urban,Madhya Pradesh,Disbursed,374000.0,Farmer,7.6,0,17.5,0,38.2,0,15.4,0,16.4,0,95.1,4.0,0
AU2024054,2025-03-24,2025-03,Personal Loan,Semi-Urban,Odisha,Disbursed,304000.0,Farmer,7.3,0,25.5,1,44.3,0,12.8,0,12.4,0,102.3,4.3,1
AU2024055,2024-04-18,2024-04,Personal Loan,Rural,Punjab,Disbursed,1478000.0,MSME Owner,10.1,1,28.9,1,24.7,0,18.3,1,35.7,1,117.7,4.9,1
AU2024056,2024-07-21,2024-07,Business Loan,Semi-Urban,Tamil Nadu,Under Review,334000.0,MSME Owner,6.4,0,26.9,1,69.0,1,0.0,0,0.0,0,102.3,4.3,1
AU2024057,2024-03-14,2024-03,MSME Loan,Semi-Urban,Tamil Nadu,Disbursed,50000.0,Self-Employed,9.9,1,23.8,0,41.8,0,15.6,0,14.3,0,105.4,4.4,1
